업종,해시태그,본문,좋아요,URL,수집일시
,카페,어머! 헬로키티 디저트 너무 귀여워요! 💖 커피도 맛있어 보이네요! ☕️,0,https://www.instagram.com/p/DQ1Cd67k8DT/,2026-02-21T16:49:34.239062
,카페,han_coff__  34주 저장📁 | 서울사람이 엄선해서 다녀온 청주카페 6 .*  서울 토박이라 청주 주민분들보다  더 더 열심히 공부해 엄선해서 다녀왔어요...✎ @@방학 때 같이 청주 다녀오자!  🗺️ 팔로우하고 DM 메신저로 ’청주‘ 보내주시면 <서울 사람이 추천하는 청주카페 6곳🍉> 한눈에 정리한 링크 보내드릴게요!   ❶ #커피하우스큐 (@coffeehousekyu) 📍충북 청주시 상당구 상당로131번길 8-2 1층 ⏰ 월 휴무 / 평일 12:00 - 21:00 / 주말 12:00 - 22:00 ✴️ 가구부터 남다른 감도 높은 카페. ’아이스 도넛‘에는 꼭꼭 말차 아이스크림 올려 먹기! .+  ❷ #그앤푸 (@greensand.fruits) 📍충북 청주시 상당구 상당로131번길 7-2 2층 ⏰ 매일 11:00 - 20:00 ✴️ 계절 과일로 만드는 빙수를 파는 청주 신상카페. 귀여운 맛에 오래 머무르고 싶어지는 곳 .+  ❸ #호퍼 (@hoppercoffeegarage) 📍충북 청주시 흥덕구 과상미로17번길 22 1층 ⏰ 평일 9:00 - 21:00 / 주말 11:00 - 20:00 ✴️ 우드톤 빈티지 인테리어에서 창밖 바라보며 시원하고 깔끔한 그라니따 한 잔하기 좋은 곳 .+  ❹ #짜이왈라 (@chaiwala_____) 📍충북 청주시 흥덕구 흥덕로 142 1층 ⏰ 화 휴무 / 수-월 12:00 - 19:30 ✴️ 여기 베트남인가 착각하게 만들 정도인 짜이 전문점. 개구쟁이 고양이 ’운리‘가 반겨주는 곳 .+  ❺ #콜로니 (@colonycoffeeclub) 📍충북 청주시 청원구 사뜸로36번길 22 1층 ⏰ 월 휴무 / 화-일 8:30 - 21:00 ✴️ 자리마다 다 다른 매력을 보여주는 공간. 여름에는 달달한 ’참외 스무디‘ 꼭 드셔보세요! .+  ❻ #카페레오나 (@cafe_leona) 📍충북 청주시 상당구 낭성면 산성로 1570 ⏰ 월 휴무 / 화-일 10:00 - 19:00 ✴️ 여기 수박 빙수 먹으러 청주 왔는데요. 시간을 되돌려도 또 먹으러 다시 올 거예요 .+  ----------------------------------------  ☕️ 더 많은 카페 정보는 ••> @han_coff__ ☕️ 더 많은 카페 정보는 ••> @han_coff__  ----------------------------------------  #cafe #coffee #청주카페 #청주카페추천 #청주카페모음집 #카페모음집 #충청한컾 #청주한컾 #한컾 #한컾모음집,0,https://www.instagram.com/p/DLU0ThBpowW/,2026-02-21T16:49:48.403840
,카페,"digging.lncheon  2주 성수동 바이브의 아늑한 구월 신상 카페 ⋰˚☕  사이커피스탠드는 작은 공간이지만 채광이 좋아 따뜻한 분위기를 느낄 수 있어요. 오픈 키친 구조로 커피 내리는 모습을 바로 볼 수 있고 반려동물 동반도 가능한 카페입니다.  데이트하기에도 좋고 혼자 작업하며 여유롭게 커피 즐기기에도 딱인 곳이었어요! 어딜 찍어도 인스타 감성 낭낭한 에디터픽 느좋 카페이니 한 번 방문해보세요 ･ﾟ✧  -  ☕#사이커피스탠드 ・인천 남동구 구월동 1359-10 ・ 뭘-목 8:00-18:00 | 주말 8:00-20:00 | 금 정기휴무 ・ 하우스피즈 | 쉬림프프렌치토스트 | 자허토르테  📸 네이버 업체 등록 사진, 인스타그램, 방문자 리뷰 🖋️editor.연  #디깅인천 #사이커피스탠드 #인천카페 #인천데이트",0,https://www.instagram.com/p/DUPprodkue7/,2026-02-21T16:49:55.320140
,카페,"jeongmiso_coffee_sokcho  4주 . 바람불고 추운 오늘도 속초, 동명동, 언덕위, 작은 카페, 초당커피정미소속초점  찾아주셔서 진심으로 감사드려요~~  오고 가시는길 모두 행복하시고 즐거운 일들만 가득하시길 바래요  속초에계시다면, 초당커피정미소 속초점으로 오세요~~  #속초맛집 #속초옥수수커피 #속초카페  #속초여행 #속초중앙시장맛집",0,https://www.instagram.com/p/DTwze3iDz5F/,2026-02-21T16:50:01.904906
,카페,"green_sori  수정됨 • 7주 📍Korea | 2025년에 다녀온 카페 12   🏷️Cafes I visited in 2025 ◽️사소한 @cafe_sasohan  •대전 동구 백룡로38번길 19 1층   ◽️팀리 | @teamlee_cafe  •서울 마포구 고산18길 6 1층  ◽️스미스앳홈 | @smiths_athome_  •부산 수영구 구락로 43번길 20-2 1층   ◽️호머 | @hommer_studio  •세종특별자치시 조치원읍 충현로 72  ◽️공원 | @6ongone  •부산 수영구 광안로21번길 48 1층  ◽️이에커피 | @eecoff_ee  •대구광역시 중구 달구벌대로446길 31 1층   ◽️커피출판사 | @coffee_publisher  •서울특별시 중구 중림로7길 27  ◽️오루베 | @orube_seoul  •서울특별시 성동구 왕십리로31길 8 1층   ◽️공백 | @0100coffee  •서울특별시 광진구 자양번영로3길 37   ◽️푸어링아웃 | @pourinlg_outl  •서울특별시 서대문구 연희로11나길 7-7 반지층  ◽️컨트롤러스 | @controllers.coffeeworks  •광주광역시 서구 군분로170번길 3-1   ◽️비뮤티 | @vimutti.seoul  •서울특별시 마포구 연남로5길 9 1층   한 해 동안 함께해 주셔서 진심으로 감사합니다. 새해에는 바쁜 날들 사이에도 쉼이 머물고, 힘든 순간마다 작은 응원이 닿는 따뜻한 한 해가 되시길 바랍니다. 2026년 새해 복 많이 받으세요 🤍  Thank you sincerely for being with me throughout the year. In the new year, may there be moments of rest between busy days, and small words of encouragement reaching you whenever times feel hard. Wishing you a warm and happy 2026 🤍",0,https://www.instagram.com/p/DS7UfjWkjc4/,2026-02-21T16:50:10.101793
,카페,"s_ong_n.j  10주 잠실 카페 고민될 때 가장 먼저 떠오르는 카페  잠실 송리단길에 놀러가거나 데이트를 하려고 카페를 찾을 때 항상 가장 먼저 떠오르는 테라스 카페 비터솔트  건물 2층에 있는 비터솔트는 마당과 테라스 공간을 쓸 수 있는 넓은 공간이 있어 특히 날씨가 좋을 때 더 생각나는 카페 중 한 곳 비터솔트 내부는 가구와 인테리어 하나하나 디테일하게 초이스하고 구성을 해놨다는 것을 바로 느낄 수 있을 정도로 이국적인 느낌과 동시에 충분한 휴식을 할 수도 있을 거 같습니다 베이커리와 디저트는 시즌마다 조금씩 변경되지만 추운 겨울에는 샌드위치와 따뜻한 커피, 그리고 치즈케이크가 비터솔트 분위기와 잘 어울릴 거 같아 조합해서 먹어보는 것을 개인적으로 추천드립니다  📌비터솔트 / #엔제이_잠실 📍주소 : 서울 송파구 백제고분로45길 5 2층 🕖영업시간 평일 10:30~22:00 주말 10:00~22:00  #비터솔트 #잠실카페 #잠실데이트 #송리단길카페",0,https://www.instagram.com/p/DSFB20LE2Ez/,2026-02-21T16:50:17.330239
,카페,"incheon_pick  7주 인천분들☕1400평 초대형 베이커리카페 여기 추천드립니다  실내 400평 실외 1000평 공간으로 전채 통창뷰에서 바다가 펼쳐지는 카페 실내에서 따뜻하고 편하게 바다보며 커피 한잔 어때요?  카페 디저트 부문에서 전국 상위 0.19%  자치 할 정도로 베이커리 식음료 부분에서 상당한 퀄리티를 보여주는 곳 이에요👍🏻  🐙문어스테이크 & 먹물크림리조또 부드러운 먹물에 톡톡 씹히는 리조또 식감에 신선하고 정말 야들야들한 문어가 최상의 조합으로 (강추) 합니다  🥙대표 메뉴 아이나 브런치 같이 먹으면 든든한데, 아보카도, 그릴베지터블, 브리오슈 프렌치 토스트 등 다양한 조합으로 만들 수 있어서 색다른 맛으로 맛볼 수 있어요  아이랑 가기 좋은 카페라서 인천에서 주말 나들이로 가보시길 추천해요  ✔️인천 강화군 길상면 해안동로 116-12 1~2층, AINA카페  #인천카페 #인천브런치카페 #인천대형카페 #브런치카페 #강화도카페",0,https://www.instagram.com/p/DS4eAd4Ehjb/,2026-02-21T16:50:24.170885
,카페,onl_ootd_  17주 카페 인증샷 구도 꿀팁📸 @@똥손 저장 필수(๑•̀ㅂ•́)و✧  #사진 #사진구도 #카페사진 #똥손 #인증샷,0,https://www.instagram.com/p/DP_GpVyDHJ-/,2026-02-21T16:50:30.417866
,카페,peerappear_official  15주 카페 바가 좁으면 춤을 추세요 우리 짜증내지말고 웃으며 일해요😀  - Things that appear when you stay PEERAPPEAR   #유쾌상쾌통쾌 #카페밈 #reelinstagram❤,0,https://www.instagram.com/p/DQvxd65Ev44/,2026-02-21T16:50:36.620518
,카페,cherr__iy  27주 (저장/공유) 전포 신상 카페 털어온 후기 *내돈내산  부산 유일 독일 회르헨 빵을 먹을 수 있는 곳🥐  지나가다 우연히 발견했는데 이 감성 무야🖤 비오는날에도 무드 넘 좋지만 햇살 좋은 날 브런치 한입하러 또 가야지~~  그래서 여기가 어디냐면요~?  📍#래프터빌리지  ▪️위치 : 부산 부산진구 전포대로 224 1~2층  ▪️운영시간 : 10:00 - 24:00   -  💬신상카페 환장하는 연인/친구 태그 📌이번 주말 전포 데이트 예정이라면 저장 🚀전포 신상 카페 데이트 같이가고싶은 사람에게 공유,0,https://www.instagram.com/p/DNNvUOBzKVj/,2026-02-21T16:50:43.363972
